DATE,FDHBPIN
2000-01-01,3182.8
2000-04-01,2987.3
2000-07-01,2936.3
2000-10-01,2880.4
2001-01-01,2892.8
2001-04-01,2722.6
2001-07-01,2779.7
2001-10-01,2819.5
2002-01-01,2849.2
2002-04-01,2849.8
2002-07-01,2924.8
2002-10-01,3018.5
2003-01-01,3070.0
2003-04-01,3164.7
2003-07-01,3267.9
2003-10-01,3377.9
2004-01-01,3502.8
2004-04-01,3531.5
2004-07-01,3607.1
2004-10-01,3690.5
2005-01-01,3855.0
2005-04-01,3803.0
2005-07-01,3865.0
2005-10-01,3971.0
2006-01-01,4114.0
2006-04-01,4030.8
2006-07-01,4074.2
2006-10-01,4122.1
2007-01-01,4273.1
2007-04-01,4152.6
2007-07-01,4269.7
2007-10-01,4395.7
2008-01-01,4742.9
2008-04-01,4806.2
2008-07-01,5332.0
2008-10-01,5893.4
2009-01-01,6341.7
2009-04-01,6518.5
2009-07-01,6782.7
2009-10-01,7034.4
2010-01-01,7513.3
2010-04-01,7856.7
2010-07-01,8211.1
2010-10-01,8368.9
2011-01-01,8311.1
2011-04-01,8122.7
2011-07-01,8462.4
2011-10-01,8783.3
2012-01-01,9185.1
2012-04-01,9379.7
2012-07-01,9619.4
2012-10-01,9909.1
2013-01-01,10114.8
2013-04-01,9964.9
2013-07-01,9904.0
2013-10-01,10146.6
2014-01-01,10299.7
2014-04-01,10171.6
2014-07-01,10333.2
2014-10-01,10562.6
2015-01-01,10630.8
2015-04-01,10615.5
2015-07-01,10661.9
2015-10-01,11211.0
2016-01-01,11463.6
2016-04-01,11470.4
2016-07-01,11709.9
2016-10-01,11971.3
2017-01-01,11905.3
2017-04-01,11901.1
2017-07-01,12208.0
2017-10-01,12360.6
2018-01-01,13003.3
2018-04-01,13088.5
2018-07-01,13447.9
2018-10-01,13879.1
2019-01-01,14028.9
2019-04-01,14078.4
2019-07-01,14695.8
2019-10-01,14841.5
2020-01-01,14407.2
