,return,Adj Close
PTE,0.27927922413010786,1.4199999570846558
TEUM,0.27285712570560183,0.890999972820282
BBCP,0.1721311096306577,4.289999961853027
SDRL,0.1687036553209229,0.6310999989509583
IDEX,0.15686271530717422,1.1799999475479126
CERS,0.1423670556720067,6.659999847412109
PTN,0.12430769202554015,0.7307999730110168
PLUG,0.10980391240220744,5.659999847412109
True,0.10069442719773081,3.1700000762939453
ECOR,0.0943396502264302,1.159999966621399
SBT,0.09186349340919664,4.159999847412109
HL,0.0886075834761142,3.440000057220459
GTYH,0.08470591376809522,4.610000133514404
MBIO,0.08235291873707484,4.599999904632568
GERN,0.07100584703910928,1.809999942779541
CDE,0.07020870719131067,5.639999866485596
ACTG,0.0697050909205732,3.990000009536743
PRTH,0.06949809757616676,2.7699999809265137
AGEN,0.06100796292761834,4.0
BCRX,0.0603248798917988,4.570000171661377
